Family Size,Family,Pairs ≥ 2x,Pairs ≥ 3x,Quadruples with ≥2 Triples
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 5), (2, 3, 5), (3, 4, 5))",4,1,6
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (2, 3, 4), (2, 3, 5), (2, 4, 5))",4,1,4
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (2, 3, 5), (2, 4, 5), (3, 4, 5))",4,1,4
6,"((0, 1, 2), (0, 1, 3), (0, 2, 3), (0, 4, 5), (1, 2, 3), (1, 4, 5))",7,0,2
6,"((0, 1, 2), (0, 1, 3), (0, 2, 3), (0, 4, 5), (1, 2, 4), (1, 3, 4))",6,0,4
6,"((0, 1, 2), (0, 1, 3), (0, 2, 3), (0, 4, 5), (1, 2, 4), (1, 3, 5))",5,0,3
6,"((0, 1, 2), (0, 1, 3), (0, 2, 3), (0, 4, 5), (1, 2, 4), (1, 4, 5))",6,0,4
6,"((0, 1, 2), (0, 1, 3), (0, 2, 3), (0, 4, 5), (1, 2, 4), (3, 4, 5))",5,0,3
6,"((0, 1, 2), (0, 1, 3), (0, 2, 3), (1, 2, 4), (1, 3, 4), (2, 3, 5))",7,0,5
6,"((0, 1, 2), (0, 1, 3), (0, 2, 3), (1, 2, 4), (1, 3, 4), (2, 4, 5))",7,0,5
6,"((0, 1, 2), (0, 1, 3), (0, 2, 3), (1, 2, 4), (1, 3, 5), (1, 4, 5))",7,0,5
6,"((0, 1, 2), (0, 1, 3), (0, 2, 3), (1, 2, 4), (1, 3, 5), (2, 4, 5))",6,0,4
6,"((0, 1, 2), (0, 1, 3), (0, 2, 3), (1, 2, 4), (1, 4, 5), (2, 4, 5))",7,0,3
6,"((0, 1, 2), (0, 1, 3), (0, 2, 3), (1, 2, 4), (1, 4, 5), (3, 4, 5))",6,0,4
6,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 4), (1, 2, 5), (1, 3, 5))",7,0,7
6,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 4), (1, 2, 5), (1, 4, 5))",6,0,6
6,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 4), (1, 2, 5), (3, 4, 5))",6,0,6
6,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 4), (1, 4, 5), (2, 3, 5))",4,0,4
6,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5), (1, 2, 5))",6,0,6
6,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 5), (1, 2, 5), (1, 3, 4))",5,0,5
6,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 5), (1, 2, 5), (1, 4, 5))",5,0,5
